date,name,value
1910-01-01,United States,3619432
1951-01-01,United States,155276
1958-01-01,United States,158613
1960-01-01,United States,134670
1963-01-01,United States,509490
1970-01-01,United States,1730025
1972-01-01,United States,3567527
1976-01-01,United States,113888
1977-01-01,United States,248775
1980-01-01,United Kingdom,316113
1983-01-01,United States,1137702
1984-01-01,United Kingdom,8208365
1984-01-01,United States,1133522
1985-01-01,Canada,6013301
1985-01-01,United Kingdom,3990003
1986-01-01,Germany,730078
1986-01-01,United Kingdom,1928350
1986-01-01,United States,682201
1987-01-01,Canada,1481403
1987-01-01,United Kingdom,2076773
1987-01-01,United States,7304157
1988-01-01,Belgium,867154
1988-01-01,Germany,4772363
1988-01-01,Italy,294653
1988-01-01,United Kingdom,3244452
1988-01-01,United States,4868933
1989-01-01,Canada,2601529
1989-01-01,Germany,4282599
1989-01-01,United Kingdom,2400788
1989-01-01,United States,9253418
1990-01-01,Belgium,288396
1990-01-01,Canada,1240167
1990-01-01,France,603748
1990-01-01,Germany,3039342
1990-01-01,United Kingdom,6362923
1990-01-01,United States,4619317
1991-01-01,Belgium,4628681
1991-01-01,Canada,1878075
1991-01-01,United Kingdom,378586
1991-01-01,United States,21258932
1992-01-01,Ireland,22401054
1992-01-01,Italy,405972
1992-01-01,Jamaica,134250
1992-01-01,United Kingdom,8900443
1992-01-01,United States,7407464
1993-01-01,Belgium,604616
1993-01-01,Canada,314087
1993-01-01,United Kingdom,1106790
1993-01-01,United States,29952454
1994-01-01,Belgium,742729
1994-01-01,Germany,2272900
1994-01-01,Ireland,140973
1994-01-01,United Kingdom,2794308
1994-01-01,United States,5071309
1995-01-01,Belgium,2239041
1995-01-01,Denmark,917247
1995-01-01,Finland,957450
1995-01-01,France,2149927
1995-01-01,United Kingdom,6112026
1995-01-01,United States,26919808
1996-01-01,Belgium,2791582
1996-01-01,Denmark,517494
1996-01-01,Finland,4504590
1996-01-01,Germany,3917109
1996-01-01,Italy,396194
1996-01-01,Jamaica,2668592
1996-01-01,United Kingdom,2305761
1996-01-01,United States,16437078
1997-01-01,Belgium,5733136
1997-01-01,Canada,222354
1997-01-01,Denmark,149811
1997-01-01,Japan,584824
1997-01-01,Sweden,1487165
1997-01-01,United Kingdom,16728816
1997-01-01,United States,21475504
1998-01-01,Denmark,122859
1998-01-01,Finland,1448289
1998-01-01,France,1230679
1998-01-01,Germany,6703350
1998-01-01,Ireland,1409730
1998-01-01,Jamaica,316814
1998-01-01,United Kingdom,52283557
1998-01-01,United States,55918310
1999-01-01,Austria,311404
1999-01-01,Brazil,780800
1999-01-01,France,290139
1999-01-01,Germany,607562
1999-01-01,Japan,256213
1999-01-01,New Zealand,279253
1999-01-01,United Kingdom,18150003
1999-01-01,United States,42055339
2000-01-01,Austria,877545
2000-01-01,Finland,1774962
2000-01-01,Italy,1131829
2000-01-01,Japan,296692
2000-01-01,United Kingdom,28292063
2000-01-01,United States,54181190
2001-01-01,Belgium,1899876
2001-01-01,Finland,13431980
2001-01-01,France,536184
2001-01-01,Germany,573712
2001-01-01,Ireland,2830282
2001-01-01,Italy,342900
2001-01-01,Sweden,3459140
2001-01-01,United Kingdom,21455616
2001-01-01,United States,68320644
2002-01-01,Australia,102311
2002-01-01,Canada,3839126
2002-01-01,France,3082661
2002-01-01,Germany,5307677
2002-01-01,Japan,1502643
2002-01-01,Russia,250253
2002-01-01,Sweden,2832660
2002-01-01,Turkey,9034140
2002-01-01,United Kingdom,67467501
2002-01-01,United States,83572601
2003-01-01,Finland,3120885
2003-01-01,France,5493905
2003-01-01,Germany,274395
2003-01-01,Jamaica,1191677
2003-01-01,Japan,2072487
2003-01-01,South Africa,220008
2003-01-01,Turkey,8748395
2003-01-01,United Kingdom,27349731
2003-01-01,United States,135904081
2004-01-01,Brazil,210213
2004-01-01,Canada,4562670
2004-01-01,France,595618
2004-01-01,Germany,4183431
2004-01-01,Ireland,223984
2004-01-01,Jamaica,301628
2004-01-01,Japan,996828
2004-01-01,Netherlands,4905956
2004-01-01,Norway,277808
2004-01-01,Saint Vincent and The Grenadines,4336132
2004-01-01,Slovakia,114506
2004-01-01,Sweden,4866837
2004-01-01,Turkey,6774580
2004-01-01,United Kingdom,21028228
2004-01-01,United States,146964380
2005-01-01,Austria,271909
2005-01-01,Canada,2843186
2005-01-01,Denmark,4070224
2005-01-01,France,314863
2005-01-01,Germany,578010
2005-01-01,Ireland,659085
2005-01-01,Italy,287577
2005-01-01,Mexico,3262833
2005-01-01,Sweden,3731511
2005-01-01,United Kingdom,184255292
2005-01-01,United States,289594850
2006-01-01,Australia,21534603
2006-01-01,Austria,63575
2006-01-01,Belgium,19933500
2006-01-01,Brazil,65256
2006-01-01,Canada,21924685
2006-01-01,Denmark,669901
2006-01-01,Finland,13605700
2006-01-01,France,1007546
2006-01-01,Germany,1704666
2006-01-01,Italy,377696
2006-01-01,Jamaica,200294
2006-01-01,Japan,2126988
2006-01-01,Mexico,727452
2006-01-01,Netherlands,46630645
2006-01-01,Philippines,619283
2006-01-01,Saint Vincent and The Grenadines,222455
2006-01-01,Slovakia,68717
2006-01-01,Sweden,10985078
2006-01-01,Turkey,6971665
2006-01-01,United Kingdom,72064877
2006-01-01,United States,281134306
2007-01-01,Australia,1953018
2007-01-01,Belgium,269393
2007-01-01,Bosnia and Herzegovina,7675806
2007-01-01,Canada,1086294
2007-01-01,Finland,38409700
2007-01-01,France,1498983
2007-01-01,Germany,4204758
2007-01-01,Ireland,929190
2007-01-01,Italy,474240
2007-01-01,Jamaica,3379598
2007-01-01,Japan,3823037
2007-01-01,Netherlands,305292
2007-01-01,New Zealand,261971
2007-01-01,Puerto Rico,917757
2007-01-01,Sweden,3010670
2007-01-01,United Kingdom,109439026
2007-01-01,United States,301187372
2008-01-01,Australia,447646
2008-01-01,Canada,1821316
2008-01-01,Denmark,2729430
2008-01-01,Finland,35345645
2008-01-01,France,600560
2008-01-01,Germany,6379920
2008-01-01,Hungary,799729
2008-01-01,Ireland,478426
2008-01-01,Jamaica,4679101
2008-01-01,Japan,315077
2008-01-01,Netherlands,37340708
2008-01-01,Philippines,2523200
2008-01-01,Poland,1238025
2008-01-01,Spain,1451320
2008-01-01,Sweden,140964836
2008-01-01,United Kingdom,78663621
2008-01-01,United States,324445302
2009-01-01,Argentina,272218
2009-01-01,Australia,91295
2009-01-01,Belgium,1247496
2009-01-01,Canada,11521311
2009-01-01,Finland,14196635
2009-01-01,France,3053844
2009-01-01,Germany,1361800
2009-01-01,Italy,980432
2009-01-01,Jamaica,4729042
2009-01-01,Japan,3203698
2009-01-01,Moldova,278517
2009-01-01,Netherlands,8654854
2009-01-01,Philippines,1797185
2009-01-01,Saint Vincent and The Grenadines,305059
2009-01-01,South Africa,1006920
2009-01-01,Sweden,567612
2009-01-01,United Kingdom,35838556
2009-01-01,United States,343854507
2010-01-01,Australia,2004619
2010-01-01,Belgium,1132868
2010-01-01,Canada,15053205
2010-01-01,Cuba,293026
2010-01-01,Germany,18157716
2010-01-01,Ireland,3787581
2010-01-01,Jamaica,1078131
2010-01-01,Netherlands,12651919
2010-01-01,Philippines,234334
2010-01-01,Poland,500454
2010-01-01,Spain,293550
2010-01-01,Sweden,3169930
2010-01-01,United Kingdom,22475140
2010-01-01,United States,195477319
2011-01-01,Australia,1271306
2011-01-01,Bosnia and Herzegovina,3430007
2011-01-01,Brazil,281731
2011-01-01,Canada,4958848
2011-01-01,Denmark,2064603
2011-01-01,Finland,17955740
2011-01-01,Germany,634267
2011-01-01,Greece,1437095
2011-01-01,Italy,213014
2011-01-01,Japan,290099
2011-01-01,Netherlands,4947907
2011-01-01,Poland,886867
2011-01-01,South Africa,8699656
2011-01-01,Sweden,38351498
2011-01-01,United Kingdom,39371572
2011-01-01,United States,217678859
2012-01-01,Australia,2984120
2012-01-01,Belgium,309031
2012-01-01,Canada,4731626
2012-01-01,Italy,4259269
2012-01-01,Poland,1801332
2012-01-01,South Africa,64
2012-01-01,Sweden,529754
2012-01-01,United Kingdom,37294427
2012-01-01,United States,49229311
2013-01-01,Australia,5925950
2013-01-01,Belgium,8438262
2013-01-01,Brazil,1574600
2013-01-01,Canada,2255538
2013-01-01,Finland,11993915
2013-01-01,Germany,22413901
2013-01-01,Jamaica,460316
2013-01-01,Netherlands,9547293
2013-01-01,Norway,910269
2013-01-01,Poland,310380
2013-01-01,South Africa,538792
2013-01-01,Sweden,19649338
2013-01-01,United Kingdom,13010015
2013-01-01,United States,117910658
2014-01-01,Australia,313302
2014-01-01,Belgium,2995477
2014-01-01,Brazil,4785095
2014-01-01,Canada,2608035
2014-01-01,Denmark,60063
2014-01-01,Finland,1448245
2014-01-01,France,1467719
2014-01-01,Germany,13565577
2014-01-01,India,909915
2014-01-01,Italy,9128002
2014-01-01,Moldova,1111825
2014-01-01,Netherlands,1921626
2014-01-01,Poland,589725
2014-01-01,Puerto Rico,825103
2014-01-01,Sweden,18849340
2014-01-01,United Kingdom,29026975
2014-01-01,United States,123010125
2015-01-01,Australia,1235535
2015-01-01,Belgium,84186445
2015-01-01,Canada,8630910
2015-01-01,Denmark,1916083
2015-01-01,Finland,16409200
2015-01-01,Germany,24288864
2015-01-01,Ireland,6158188
