year,country_name,song_count,x,y
1910,United States,12,-112.46167057,45.67955203
1951,United States,1,-112.46167057,45.67955203
1958,United States,1,-112.46167057,45.67955203
1960,United States,2,-112.46167057,45.67955203
1963,United States,1,-112.46167057,45.67955203
1970,United States,6,-112.46167057,45.67955203
1972,United States,12,-112.46167057,45.67955203
1976,United States,1,-112.46167057,45.67955203
1977,United States,1,-112.46167057,45.67955203
1980,United Kingdom,1,-2.86563362,54.12387156
1983,United States,6,-112.46167057,45.67955203
1984,United Kingdom,28,-2.86563362,54.12387156
1984,United States,5,-112.46167057,45.67955203
1985,Canada,20,-98.30775723,61.36206827
1985,United Kingdom,13,-2.86563362,54.12387156
1986,Germany,8,10.38577693,51.10697903
1986,United Kingdom,7,-2.86563362,54.12387156
1986,United States,6,-112.46167057,45.67955203
1987,Canada,5,-98.30775723,61.36206827
1987,United Kingdom,7,-2.86563362,54.12387156
1987,United States,25,-112.46167057,45.67955203
1988,Belgium,6,4.64064572,50.63981435
1988,Germany,16,10.38577693,51.10697903
1988,Italy,2,12.07000946,42.79663568
1988,United Kingdom,11,-2.86563362,54.12387156
1988,United States,27,-112.46167057,45.67955203
1989,Canada,10,-98.30775723,61.36206827
1989,Germany,14,10.38577693,51.10697903
1989,United Kingdom,6,-2.86563362,54.12387156
1989,United States,44,-112.46167057,45.67955203
1990,Belgium,1,4.64064572,50.63981435
1990,Canada,4,-98.30775723,61.36206827
1990,France,2,2.53618475,46.18700581
1990,Germany,10,10.38577693,51.10697903
1990,United Kingdom,21,-2.86563362,54.12387156
1990,United States,24,-112.46167057,45.67955203
1991,Belgium,17,4.64064572,50.63981435
1991,Canada,10,-98.30775723,61.36206827
1991,United Kingdom,2,-2.86563362,54.12387156
1991,United States,90,-112.46167057,45.67955203
1992,Ireland,104,-8.13793167,53.1754426
1992,Italy,2,12.07000946,42.79663568
1992,Jamaica,1,-77.31482556,18.15695476
1992,United Kingdom,31,-2.86563362,54.12387156
1992,United States,41,-112.46167057,45.67955203
1993,Belgium,3,4.64064572,50.63981435
1993,Canada,1,-98.30775723,61.36206827
1993,United Kingdom,4,-2.86563362,54.12387156
1993,United States,140,-112.46167057,45.67955203
1994,Belgium,4,4.64064572,50.63981435
1994,Germany,8,10.38577693,51.10697903
1994,Ireland,1,-8.13793167,53.1754426
1994,United Kingdom,9,-2.86563362,54.12387156
1994,United States,38,-112.46167057,45.67955203
1995,Belgium,8,4.64064572,50.63981435
1995,Denmark,3,10.02799418,55.98126391
1995,Finland,5,26.27467024,64.49884844
1995,France,7,2.53618475,46.18700581
1995,United Kingdom,21,-2.86563362,54.12387156
1995,United States,123,-112.46167057,45.67955203
1996,Belgium,9,4.64064572,50.63981435
1996,Denmark,4,10.02799418,55.98126391
1996,Finland,15,26.27467024,64.49884844
1996,Germany,13,10.38577693,51.10697903
1996,Italy,2,12.07000946,42.79663568
1996,Jamaica,9,-77.31482556,18.15695476
1996,United Kingdom,8,-2.86563362,54.12387156
1996,United States,68,-112.46167057,45.67955203
1997,Belgium,23,4.64064572,50.63981435
1997,Canada,1,-98.30775723,61.36206827
1997,Denmark,1,10.02799418,55.98126391
1997,Japan,2,138.03089212,37.59230065
1997,Sweden,5,16.74371219,62.79232016
1997,United Kingdom,71,-2.86563362,54.12387156
1997,United States,91,-112.46167057,45.67955203
1998,Denmark,1,10.02799418,55.98126391
1998,Finland,9,26.27467024,64.49884844
1998,France,4,2.53618475,46.18700581
1998,Germany,27,10.38577693,51.10697903
1998,Ireland,10,-8.13793167,53.1754426
1998,Jamaica,1,-77.31482556,18.15695476
1998,United Kingdom,187,-2.86563362,54.12387156
1998,United States,220,-112.46167057,45.67955203
1999,Austria,1,14.12647809,47.58549847
1999,Brazil,5,-53.09783199,-10.78777567
1999,France,1,2.53618475,46.18700581
1999,Germany,2,10.38577693,51.10697903
1999,Japan,1,138.03089212,37.59230065
1999,New Zealand,2,171.48495391,-41.81112825
1999,United Kingdom,129,-2.86563362,54.12387156
1999,United States,171,-112.46167057,45.67955203
2000,Austria,9,14.12647809,47.58549847
2000,Finland,9,26.27467024,64.49884844
2000,Italy,6,12.07000946,42.79663568
2000,Japan,1,138.03089212,37.59230065
2000,United Kingdom,114,-2.86563362,54.12387156
2000,United States,270,-112.46167057,45.67955203
2001,Belgium,9,4.64064572,50.63981435
2001,Finland,45,26.27467024,64.49884844
2001,France,2,2.53618475,46.18700581
2001,Germany,2,10.38577693,51.10697903
2001,Ireland,13,-8.13793167,53.1754426
2001,Italy,2,12.07000946,42.79663568
2001,Sweden,10,16.74371219,62.79232016
2001,United Kingdom,92,-2.86563362,54.12387156
2001,United States,253,-112.46167057,45.67955203
