year,country_name,id,song_count
1910,United States,USA,12
1951,United States,USA,1
1958,United States,USA,1
1960,United States,USA,2
1963,United States,USA,1
1970,United States,USA,6
1972,United States,USA,12
1976,United States,USA,1
1977,United States,USA,1
1980,United Kingdom,GBR,1
1983,United States,USA,6
1984,United Kingdom,GBR,28
1984,United States,USA,5
1985,Canada,CAN,20
1985,United Kingdom,GBR,13
1986,Germany,DEU,8
1986,United Kingdom,GBR,7
1986,United States,USA,6
1987,Canada,CAN,5
1987,United Kingdom,GBR,7
1987,United States,USA,25
1988,Belgium,BEL,6
1988,Germany,DEU,16
1988,Italy,ITA,2
1988,United Kingdom,GBR,11
1988,United States,USA,27
1989,Canada,CAN,10
1989,Germany,DEU,14
1989,United Kingdom,GBR,6
1989,United States,USA,44
1990,Belgium,BEL,1
1990,Canada,CAN,4
1990,France,FRA,2
1990,Germany,DEU,10
1990,United Kingdom,GBR,21
1990,United States,USA,24
1991,Belgium,BEL,17
1991,Canada,CAN,10
1991,United Kingdom,GBR,2
1991,United States,USA,90
1992,Ireland,IRL,104
1992,Italy,ITA,2
1992,Jamaica,JAM,1
1992,United Kingdom,GBR,31
1992,United States,USA,41
1993,Belgium,BEL,3
1993,Canada,CAN,1
1993,United Kingdom,GBR,4
1993,United States,USA,140
1994,Belgium,BEL,4
1994,Germany,DEU,8
1994,Ireland,IRL,1
1994,United Kingdom,GBR,9
1994,United States,USA,38
1995,Belgium,BEL,8
1995,Denmark,DNK,3
1995,Finland,FIN,5
1995,France,FRA,7
1995,United Kingdom,GBR,21
1995,United States,USA,123
1996,Belgium,BEL,9
1996,Denmark,DNK,4
1996,Finland,FIN,15
1996,Germany,DEU,13
1996,Italy,ITA,2
1996,Jamaica,JAM,9
1996,United Kingdom,GBR,8
1996,United States,USA,68
1997,Belgium,BEL,23
1997,Canada,CAN,1
1997,Denmark,DNK,1
1997,Japan,JPN,2
1997,Sweden,SWE,5
1997,United Kingdom,GBR,71
1997,United States,USA,91
1998,Denmark,DNK,1
1998,Finland,FIN,9
1998,France,FRA,4
1998,Germany,DEU,27
1998,Ireland,IRL,10
1998,Jamaica,JAM,1
1998,United Kingdom,GBR,187
1998,United States,USA,220
1999,Austria,AUT,1
1999,Brazil,BRA,5
1999,France,FRA,1
1999,Germany,DEU,2
1999,Japan,JPN,1
1999,New Zealand,NZL,2
1999,United Kingdom,GBR,129
1999,United States,USA,171
2000,Austria,AUT,9
2000,Finland,FIN,9
2000,Italy,ITA,6
2000,Japan,JPN,1
2000,United Kingdom,GBR,114
2000,United States,USA,270
2001,Belgium,BEL,9
2001,Finland,FIN,45
2001,France,FRA,2
