"country","publicationDate","rank"
"United States","1910-01-01",3619432
"United States","1951-01-01",155276
"United States","1958-01-01",158613
"United States","1960-01-01",134670
"United States","1963-01-01",509490
"United States","1970-01-01",1730025
"United States","1972-01-01",3567527
"United States","1976-01-01",113888
"United States","1977-01-01",248775
"United Kingdom","1980-01-01",316113
"United States","1983-01-01",1137702
"United Kingdom","1984-01-01",8208365
"United States","1984-01-01",1133522
"Canada","1985-01-01",6013301
"United Kingdom","1985-01-01",3990003
"Germany","1986-01-01",730078
"United Kingdom","1986-01-01",1928350
"United States","1986-01-01",682201
"Canada","1987-01-01",1481403
"United Kingdom","1987-01-01",2076773
"United States","1987-01-01",7304157
"Belgium","1988-01-01",867154
"Germany","1988-01-01",4772363
"Italy","1988-01-01",294653
"United Kingdom","1988-01-01",3244452
"United States","1988-01-01",4868933
"Canada","1989-01-01",2601529
"Germany","1989-01-01",4282599
"United Kingdom","1989-01-01",2400788
"United States","1989-01-01",9253418
"Belgium","1990-01-01",288396
"Canada","1990-01-01",1240167
"France","1990-01-01",603748
"Germany","1990-01-01",3039342
"United Kingdom","1990-01-01",6362923
"United States","1990-01-01",4619317
"Belgium","1991-01-01",4628681
"Canada","1991-01-01",1878075
"United Kingdom","1991-01-01",378586
"United States","1991-01-01",21258932
"Ireland","1992-01-01",22401054
"Italy","1992-01-01",405972
"Jamaica","1992-01-01",134250
"United Kingdom","1992-01-01",8900443
"United States","1992-01-01",7407464
"Belgium","1993-01-01",604616
"Canada","1993-01-01",314087
"United Kingdom","1993-01-01",1106790
"United States","1993-01-01",29952454
"Belgium","1994-01-01",742729
"Germany","1994-01-01",2272900
"Ireland","1994-01-01",140973
"United Kingdom","1994-01-01",2794308
"United States","1994-01-01",5071309
"Belgium","1995-01-01",2239041
"Denmark","1995-01-01",917247
"Finland","1995-01-01",957450
"France","1995-01-01",2149927
"United Kingdom","1995-01-01",6112026
"United States","1995-01-01",26919808
"Belgium","1996-01-01",2791582
"Denmark","1996-01-01",517494
"Finland","1996-01-01",4504590
"Germany","1996-01-01",3917109
"Italy","1996-01-01",396194
"Jamaica","1996-01-01",2668592
"United Kingdom","1996-01-01",2305761
"United States","1996-01-01",16437078
"Belgium","1997-01-01",5733136
"Canada","1997-01-01",222354
"Denmark","1997-01-01",149811
"Japan","1997-01-01",584824
"Sweden","1997-01-01",1487165
"United Kingdom","1997-01-01",16728816
"United States","1997-01-01",21475504
"Denmark","1998-01-01",122859
"Finland","1998-01-01",1448289
"France","1998-01-01",1230679
"Germany","1998-01-01",6703350
"Ireland","1998-01-01",1409730
"Jamaica","1998-01-01",316814
"United Kingdom","1998-01-01",52283557
"United States","1998-01-01",55918310
"Austria","1999-01-01",311404
"Brazil","1999-01-01",780800
"France","1999-01-01",290139
"Germany","1999-01-01",607562
"Japan","1999-01-01",256213
"New Zealand","1999-01-01",279253
