"name","location.country"
"A","United Kingdom"
"A (エース) (ACE)","Japan"
"A Balladeer","Netherlands"
"A Band Called Pain","United States"
"A Black Rose Burial","United States"
"A Brand","Belgium"
"A C Roy","United States"
"A Case Of Grenada","Germany"
"A Camp","New York"
"A Challenge Of Honour","Netherlands"
"A Change Of Pace","United States"
"A Day In Black And White","United States"
"A Day's Refrain","United States"
"A Different Breed Of Killer","United States"
"A Dying Dream","United States"
"A Foot In Coldwater","Canada"
"A Fine Boat, That Coffin!","Germany"
"A Flock Of Seagulls","United Kingdom"
"A Friend In London","Denmark"
"A Genuine Freakshow","United Kingdom"
"A Frames","United States"
"A Girl Called Eddy","United States"
"A Great Big World","United States"
"A Great Big Pile Of Leaves","United States"
"A Gun Called Tension","United States"
"A Guy Called Gerald","United Kingdom"
"A Halo Called Fred","United States"
"A Hope For Home","United States"
"A House","Ireland"
"A La Carte","Germany"
"A Klana Indiana","Austria"
"A Life Divided","Germany"
"A Lost Cause","United States"
"A Loss For Words","Boston"
"A Love Ends Suicide","United States"
"A Million Dead Birds Laughing","Australia"
"A Mind Confused","Sweden"
"A New Dawn","Netherlands"
"A New January","United States"
"A Pale Horse Named Death","New York"
"A Petal Fallen","Newark"
"A Place To Bury Strangers","United States"
"A Pink","South Korea"
"A Radio With Guts","United States"
"A Rocket To The Moon","United States"
"A Silent Film","United Kingdom"
"A Skylit Drive","United States"
"A Spell Inside","Germany"
"A Sunny Day In Glasgow","United States"
"A Thorn For Every Heart","United States"
"A Banda Mais Bonita Da Cidade","Brazil"
"A Bird A Sparrow","United States"
"A Burning Water","United States"
"A Canorous Quintet","Sweden"
"A Certain Ratio","United Kingdom"
"A Cursive Memory","United States"
"A Dark Halo","Phoenix"
"A Day In The Life","United States"
"A Tribe Called Quest","United States"
"A Turma Do Balão Mágico","Brazil"
"A Weather","United States"
"A Whisper In The Noise","United States"
"A*Teens","Sweden"
"A-ha","Norway"
"A$AP Rocky","United States"
"A-Trak","Canada"
"A-Wax","United States"
"A Day To Remember","Ocala"
"A Death Among Heroes","United States"
"A Death For Every Sin","Canada"
"A Dozen Furies","Dallas"
"A Dream Too Late","United States"
"A Dream Of Poe","London"
"A Farewell To Arms","United States"
"A Fine Frenzy","United States"
"A Forest Of Stars","United Kingdom"
"A Global Threat","United States"
"A.B.N.","United States"
"A.C. Newman","Canada"
"A.G.","United States"
"A.Human","United Kingdom"
"A.L.T.","United States"
"Aa","United States"
"A7ie","France"
"Adolf And The Piss Artists","United States"
"Adolphe Bérard","France"
"Adoniran Barbosa","Brazil"
"Adorned Brood","Germany"
"Adrian Sina","Romania"
"Adrian Snell","United Kingdom"
"Adriana Evans","United States"
"Adrianna Foster","Mexico"
"Adrima","Germany"
"Adriano Pappalardo","Italy"
"Adrienne Young","United States"
"Adventure Club","Birmingham"
"Advent (IT)","Italy"
"Adventures Of Stevie V","United Kingdom"
"A. Wolf & Her Claws","Minneapolis"
"A. R. Rahman","India"
"A.B.C.","United Kingdom"
"A.b.","Australia"
"A.C.A.B.","Malaysia"
"A.C.T","United Kingdom"
"A.D.O.R.","United States"
"A.i.d.S.","Germany"
"A.J. Gil","United States"
"A.J. McLean","United States"
"A.P.P.L.E.","United States"
"A.N.I.M.A.L.","Argentina"
"A.R.G.","Finland"
"Aal","Netherlands"
"Aaliyah","United States"
"Aarktica","United States"
"Aaroh","Pakistan"
"Aaron Booth","Canada"
"Aaron Carter","United States"
"AaRON","France"
"Aaron Neville","Nashville"
"A1 People","United Kingdom"
"AA=","Japan"
"AAA","Japan"
"Aalap Raju","Chennai"
"Aaen Anima","Czech Republic"
"Aalon","United States"
"Aaries","United States"
"Aarni","Finland"
"Aarne Viisimaa","Estonia"
"Aaron Goldberg","United States"
"Aaron Hall","United States"
"Aaron Jeoffrey","United States"
"Aaron McMullan","United Kingdom"
"Aaron Schroeder","United States"
"Aaron Smith","United States"
"A Hawk And A Hacksaw","United States"
"A Heartwell Ending","United States"
"A Hellish Digest","Greece"
"A Hero A Fake","United States"
"A Human And His Stds","United States"
"A Kid Hereafter","Denmark"
"A Kiss Could Be Deadly","United States"
"A Life Once Lost","United States"
"A Lot Like Birds","United States"
"Adversus","Germany"
"AEON","Poland"
"Aerial","Canada"
"Aerospace","Sweden"
"Aeroplane","Belgium"
"Aeternal Seprium","Italy"
"Aetherius Obscuritas","Hungary"
"Aevum","Italy"
"Affliction","Turkey"
"Aeternus","Norway"
"Aaryn Doyle","Canada"
"Aaron Waters","United States"
"Aasim","United Kingdom"
"Aasma","India"
"Aavas","Germany"
"Ab-Liva","United States"
"Abacabb","United States"
"Abaddon (PL)","Poland"
"Abandon All Hope","Australia"
"Abandon","United States"
"Abandoned","Germany"
"Abandoned Pools","United States"
"Abbie Gardner/Anthony Da Costa","United States"
"Abbe May","Australia"
"Abbey Lincoln","United States"
"Aaron Sprinkle","United States"
"Aaron Watson","United States"
"Aaskereia","Germany"
"Ab-Soul","United States"
"Abaddon (UK)","United Kingdom"
"Abandon (US)","United States"
"A New Beginning","United States"
"A Palo Seko","Spain"
"A Northern Chorus","Canada"
"A Perfect Day","Canada"
"A Perfect Circle","Los Angeles"
"A Perfect Murder","Canada"
"A Plastic Rose","Nottingham"
"A Plea For Purging","Murfreesboro"
"A Reminiscent Drive","Belgium"
"A Sang","Taiwan"
"A Rose By Any Other Name","United States"
"A Season Drive","Switzerland"
"A Secret Sense","Germany"
"Abby Dobson","Australia"
"Abby Travis","United States"
"Abd Al Malik","France"
"Abel","Netherlands"
"Abendsterne","Ludwigsburg"
"Aberfeldy","United Kingdom"
"Aberrant Vascular","Finland"
"Abhinanda","Sweden"
"Abhorrence (FI)","Finland"
"Abie Rotenberg","Canada"
"Abatoir","Poland"
"Abattoir","United States"
"ABBA","Sweden"
"Abbott And Costello","United States"
"Abdicate","United States"
"Abdullah","United States"
"Afric Simone","Mozambique"
"Afro Blue","United States"
"Afrika Bambaataa","United States"
"Afrob","Germany"
"After Death","United States"
"After School","South Korea"
"After The Burial","United States"
"After Romeo","Los Angeles"
"After The Fire","United Kingdom"
"Afterlife (PL)","Poland"
"Abigail Mead","United States"
"Abigail (UK)","United States"
"Abigor","Austria"
"ABK","United States"
"Abnormality","Marlborough"
"Abnormyndeffect","Moldova"
"Abortion","Slovakia"
"Abonos","Beograd"
"Aborted","United Kingdom"
"A Smile From The Trenches","United States"
"A Split-Second","Belgium"
"A Static Lullaby","United States"
"A Storm Of Light","United States"
"A Taste Of Honey","United States"
"A Traitor Like Judas","Germany"
"A Toys Orchestra","Italy"
"A Trillion Barnacle Lapse","United States"
"A Tortured Soul","United States"
"Abel Aznar","Argentina"
"Abhijeet Bhattacharya","India"
"Abhorrence","Brazil"
"Abigail","Tokyo"
"Abigail's Ghost","United States"
"Abigail Williams","United States"
"Abinchova","Switzerland"
"Abitabyss","Rouyn-Noranda"
"Able Baker Fox","United States"
"ABN","Belgium"
"Afterworld","Finland"
"Afu-Ra","United States"
"Against All Authority","United States"
"Agarrate Catalina","Uruguay"
"Agata Lo Certo","Italy"
"Age Of Agony","Hungary"
"Age Of Ruin","United States"
"Agent Blue","United Kingdom"
"Agent Felix","United States"
"Agent M","Estonia"
"Agent Orange","United States"
"Above All","United Kingdom"
"Above The Law","United States"
"Abraham Mateo","Spain"
"Abrasive Wheels","United Kingdom"
"Abraxas","Czech Republic"
"Abschlach!","Germany"
"Agents & Jorma Kääriäinen","Finland"
"Agents Of Good Roots","United States"
"Agghiastru","Italy"
"Aghora","United States"
"Agna Moraine's Autobiography","United States"
"Agnes Obel","Denmark"
"Agnes Monica","Indonesia"
"Agnosia","Greece"
"Agnes Carlsson","Sweden"
"Agnostic Front","United States"
"Agonizer","Pyhäjärvi"
"Agony","České Budějovice"
"Agot Isidro","Philippines"
