"","x","y"
"Aruba",-69.98267466,12.52088881
"Afghanistan",66.00473115,33.83523216
"Angola",17.53736149,-12.29336112
"Anguilla",-63.06498464,18.22396692
"Albania",20.04983034,41.14245128
"Aland",19.95324636,60.21490035
"Andorra",1.56053368,42.54229174
"United Arab Emirates",54.30015737,23.90527175
"Argentina",-65.17980881,-35.38135347
"Armenia",44.9299343,40.28952206
"American Samoa",-170.7180186,-14.30448922
"Antarctica",19.92113271,-80.50856414
"Ashmore and Cartier Islands",123.58383039,-12.42994255
"French Southern and Antarctic Lands",69.22673416,-49.24895992
"Antigua and Barbuda",-61.7946956,17.27754256
"Australia",134.49099877,-25.73288736
"Austria",14.12647809,47.58549847
"Azerbaijan",47.54599646,40.28827674
"Burundi",29.8751201,-3.35939257
"Belgium",4.64064572,50.63981435
"Benin",2.32784527,9.6417533
"Burkina Faso",-1.7545684,12.26953681
"Bangladesh",90.23812793,23.86730412
"Bulgaria",25.21552327,42.76889988
"Bahrain",50.54197759,26.04200845
"The Bahamas",-76.62835738,24.29031222
"Bosnia and Herzegovina",17.76876588,44.17449912
"Saint Barthelemy",-62.84068712,17.89881045
"Belarus",28.03208711,53.53131155
"Belize",-88.71010228,17.20027475
"Bermuda",-64.75454185,32.31368594
"Bolivia",-64.6853892,-16.70814536
"Brazil",-53.09783199,-10.78777567
"Barbados",-59.55980198,13.18145371
"Brunei",114.72202554,4.51968241
"Bhutan",90.401895,27.4110619
"Botswana",23.7985373,-22.18402031
"Central African Republic",20.46826364,6.56823003
"Canada",-98.30775723,61.36206827
"Switzerland",8.20866006,46.79785296
"Chile",-71.38255879,-37.73069754
"China",103.81907385,36.56176801
"Ivory Coast",-5.56921598,7.62842868
"Cameroon",12.73964266,5.69110296
"Democratic Republic of the Congo",23.64395637,-2.87746013
"Republic of the Congo",15.21965722,-0.83788172
"Cook Islands",-159.7872415,-21.21926813
"Colombia",-73.08114936,3.91383156
"Comoros",43.68238096,-11.87777573
"Cape Verde",-23.95990969,15.95518822
"Costa Rica",-84.19208786,9.9763424
"Cuba",-79.01606913,21.62290023
"Curacao",-68.9712225,12.19552443
"Cayman Islands",-80.91213058,19.42896455
"Northern Cyprus",33.5684401,35.2627605
"Cyprus",33.00600358,34.91666932
"Czech Republic",15.31240065,49.73341073
"Germany",10.38577693,51.10697903
"Djibouti",42.56067681,11.74872052
"Dominica",-61.35773122,15.43947211
"Denmark",10.02799418,55.98126391
"Dominican Republic",-70.50569086,18.8943308
"Algeria",2.61732102,28.15893844
"Ecuador",-78.75203573,-1.42381949
"Egypt",29.8618993,26.49593108
"Eritrea",38.84615444,15.36186881
"Spain",-3.64754874,40.24448626
